Row_ID,As_Of_Date,Material_Price_Index,City,City_Tier,City_Multiplier,Labor_Day_Rate_Min,Labor_Day_Rate_Max,Room_Type,Area_Sqft,Renovation_Level,Paint_Quality,Floor_Type,Floor_Quality,Ceiling_Type,Ceiling_Quality,Has_Electrical,Furniture_Level,Kitchen_Package,Bathroom_Package,Painting_Material_Cost,Painting_Labor_Cost,Flooring_Material_Cost,Flooring_Labor_Cost,Ceiling_Material_Cost,Ceiling_Labor_Cost,Electrical_Material_Cost,Electrical_Labor_Cost,Kitchen_Package_Cost,Bathroom_Package_Cost,Plumbing_Cost,Furniture_Cost,Wastage_Sundries_Cost,Contractor_Overhead_Cost,GST_Amount,Grand_Total,Total_Cost_per_Sqft
1,2025-09-07,1.0,Kanpur,Tier-3,0.9,480,620,Bedroom,82,Mid,Economy,Vitrified_Tile,Economy,None,None,False,Basic,None,None,1811,563,7678,564,0,0,0,0,0,0,0,47214,3624,10062,12873,84390,1029.14
2,2025-09-07,1.0,Delhi,Metro,1.2,750,900,Kids Room,456,Luxury,Standard,Ceramic_Tile,Economy,Gypsum,Premium,True,Standard,None,None,10800,1704,49820,2824,80202,1819,47774,1655,0,0,0,214227,37368,119961,102268,670422,1470.22
3,2025-09-07,1.0,Hyderabad,Metro,1.15,700,850,Bathroom,203,Luxury,Economy,Vitrified_Tile,Standard,None,None,True,None,None,Premium,6289,871,34727,1222,0,0,35784,960,0,490176,60487,0,32380,209962,157115,1029973,5073.76
4,2025-09-07,1.0,Indore,Tier-2,0.96,550,700,Bathroom,198,Basic,Standard,Ceramic_Tile,Premium,None,None,False,None,None,Basic,5035,683,20796,1026,0,0,0,0,0,100811,57513,0,18391,27136,41650,273041,1378.99
5,2025-09-07,1.0,Chennai,Metro,1.1,650,800,Dining,306,Basic,Economy,Ceramic_Tile,Economy,None,None,True,None,None,None,8524,904,30328,1438,0,0,50366,1065,0,0,0,0,5770,13245,20095,131736,430.51
6,2025-09-07,1.0,Kolkata,Metro,1.0,600,750,Bathroom,71,Luxury,Standard,Vitrified_Tile,Standard,None,None,True,None,None,Premium,2380,731,11146,623,0,0,9945,680,0,222374,59964,0,30356,104050,79605,521853,7350.04
7,2025-09-07,1.0,Jaipur,Tier-2,0.95,550,700,Living Room,97,Luxury,Economy,Ceramic_Tile,Standard,POP,Economy,True,Basic,None,None,2565,665,11425,590,12215,653,12021,606,0,0,0,40276,4176,27951,20366,133509,1376.38
8,2025-09-07,1.0,Delhi,Metro,1.2,750,900,Dining,335,Luxury,Economy,Vitrified_Tile,Standard,None,None,True,None,None,None,12081,1574,65762,2640,0,0,45241,1305,0,0,0,0,6751,34980,30660,200995,599.98
9,2025-09-07,1.0,Vadodara,Tier-2,0.98,550,700,Kitchen,273,Mid,Economy,Ceramic_Tile,Standard,Gypsum,Standard,True,None,Basic_L,None,4582,692,25504,1724,48899,844,19946,848,316013,0,30204,0,33067,106025,105903,694251,2543.04
10,2025-09-07,1.0,Pune,Metro,1.2,700,850,Kids Room,262,Basic,Economy,Engineered_Wood,Standard,POP,Luxury,True,None,None,None,8870,780,108574,1688,59872,1294,38538,896,0,0,0,0,21162,23815,47788,313277,1195.71
11,2025-09-07,1.0,Bangalore,Metro,1.25,750,900,Kids Room,159,Luxury,Premium,Vitrified_Tile,Standard,Grid,Luxury,True,Basic,None,None,6603,837,32259,1184,32304,809,19568,876,0,0,0,99903,19027,49946,47397,310714,1954.18
12,2025-09-07,1.0,Bangalore,Metro,1.25,750,900,Dining,172,Mid,Standard,Ceramic_Tile,Economy,None,None,True,None,None,None,4912,816,30710,1179,0,0,33079,766,0,0,0,0,6491,11648,16128,105730,614.71
13,2025-09-07,1.0,Patna,Tier-3,0.88,450,600,Living Room,200,Luxury,Standard,Vitrified_Tile,Standard,POP,Premium,True,Standard,None,None,4680,488,28120,1234,21851,700,12473,461,0,0,0,118412,17019,51062,46170,302670,1513.35
14,2025-09-07,1.0,Ranchi,Tier-3,0.9,480,620,Dining,141,Basic,Standard,Wood_Laminate,Luxury,None,None,False,Premium,None,None,2370,530,32413,558,0,0,0,0,0,0,0,230180,15401,27137,55546,364136,2582.53
15,2025-09-07,1.0,Kolkata,Metro,1.0,600,750,Bathroom,81,Luxury,Premium,Vitrified_Tile,Standard,None,None,True,None,None,Standard,2964,637,10698,606,0,0,12366,652,0,167403,61916,0,16324,87977,65078,426621,5266.93
16,2025-09-07,1.0,Bangalore,Metro,1.25,750,900,Kids Room,203,Luxury,Standard,Ceramic_Tile,Premium,Gypsum,Standard,True,Standard,None,None,4687,882,48319,1164,50237,812,18776,841,0,0,0,185857,29868,93784,78341,513568,2529.89
17,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Living Room,244,Basic,Luxury,Wood_Laminate,Standard,Grid,Standard,True,Basic,None,None,6185,641,39340,1094,34969,974,26201,666,0,0,0,53099,13221,23986,36068,236444,969.03
18,2025-09-07,1.0,Coimbatore,Tier-2,0.95,520,660,Bathroom,282,Basic,Premium,Vitrified_Tile,Luxury,None,None,True,None,None,Basic,9387,641,37608,1731,0,0,38200,989,0,141880,78154,0,22212,38882,66543,436226,1546.9
19,2025-09-07,1.0,Kanpur,Tier-3,0.9,480,620,Dining,163,Luxury,Standard,Engineered_Wood,Economy,Grid,Standard,True,Standard,None,None,4867,600,33670,696,21151,544,23312,563,0,0,0,127139,18064,61212,52527,344346,2112.56
20,2025-09-07,1.0,Chandigarh,Tier-2,1.02,600,750,Bathroom,468,Luxury,Economy,Vitrified_Tile,Premium,None,None,True,None,None,Standard,13224,1636,82090,2464,0,0,43490,1321,0,131390,79731,0,29856,104827,88205,578232,1235.54
21,2025-09-07,1.0,Bangalore,Metro,1.25,750,900,Bathroom,265,Luxury,Economy,Granite,Premium,None,None,True,None,None,Standard,9268,1299,140082,1396,0,0,34814,1040,0,184117,83388,0,31365,135255,111964,733988,2769.76
22,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Study,453,Luxury,Standard,Vitrified_Tile,Economy,Gypsum,Standard,True,Basic,None,None,7526,1025,58967,1848,59420,1218,63442,1085,0,0,0,60706,13154,68148,60577,397114,876.63
23,2025-09-07,1.0,Surat,Tier-2,1.0,550,700,Living Room,382,Luxury,Economy,Vitrified_Tile,Economy,Grid,Premium,False,None,None,None,9820,984,66784,2193,69624,1217,0,0,0,0,0,0,7499,38258,35348,231728,606.62
24,2025-09-07,1.0,Jaipur,Tier-2,0.95,550,700,Dining,395,Mid,Premium,Marble,Economy,None,None,True,None,None,None,12907,868,229729,1413,0,0,40735,1223,0,0,0,0,26206,54506,66166,433753,1098.11
25,2025-09-07,1.0,Bhopal,Tier-2,0.93,500,640,Bedroom,278,Mid,Premium,Marble,Premium,None,None,True,Standard,None,None,9455,853,200419,1310,0,0,37916,1086,0,0,0,97079,25257,74497,80617,528488,1901.03
26,2025-09-07,1.0,Guwahati,Tier-3,0.92,500,640,Study,251,Basic,Standard,Granite,Standard,Gypsum,Standard,False,Standard,None,None,5171,565,80321,1390,41615,868,0,0,0,0,0,82161,12782,26511,45249,296633,1181.81
27,2025-09-07,1.0,Mysuru,Tier-3,0.94,520,660,Living Room,216,Luxury,Standard,Ceramic_Tile,Standard,None,None,False,Basic,None,None,5554,569,19988,1197,0,0,0,0,0,0,0,37202,5454,18515,15926,104406,483.36
28,2025-09-07,1.0,Lucknow,Tier-2,0.92,500,650,Study,353,Luxury,Luxury,Vitrified_Tile,Premium,None,None,True,None,None,None,10973,768,37025,1624,0,0,44736,1204,0,0,0,0,6856,29862,23949,156998,444.75
29,2025-09-07,1.0,Indore,Tier-2,0.96,550,700,Living Room,533,Mid,Standard,Vitrified_Tile,Premium,Gypsum,Standard,True,None,None,None,9855,1853,93277,1989,96893,1956,56205,1514,0,0,0,0,20768,64304,62750,411364,771.79
30,2025-09-07,1.0,Guwahati,Tier-3,0.92,500,640,Study,117,Basic,Standard,Wood_Laminate,Economy,Gypsum,Economy,False,Standard,None,None,2948,522,19025,536,11275,537,0,0,0,0,0,91799,6970,16590,27036,177239,1514.86
31,2025-09-07,1.0,Ahmedabad,Metro,1.05,600,750,Study,141,Mid,Economy,Vitrified_Tile,Economy,Gypsum,Standard,True,Standard,None,None,4095,685,22086,705,24166,733,10708,634,0,0,0,145648,10550,48804,48387,317201,2249.65
