Row_ID,Material_Price_Index,City,City_Tier,City_Multiplier,Labor_Day_Rate_Min,Labor_Day_Rate_Max,Room_Type,Area_Sqft,Renovation_Level,Paint_Quality,Floor_Type,Floor_Quality,Ceiling_Type,Ceiling_Quality,Has_Electrical,Furniture_Level,Kitchen_Package,Bathroom_Package,Painting_Material_Cost,Painting_Labor_Cost,Flooring_Material_Cost,Flooring_Labor_Cost,Ceiling_Material_Cost,Ceiling_Labor_Cost,Electrical_Material_Cost,Electrical_Labor_Cost,Kitchen_Package_Cost,Bathroom_Package_Cost,Plumbing_Cost,Furniture_Cost,Wastage_Sundries_Cost,Contractor_Overhead_Cost,GST_Amount,Grand_Total,Total_Cost_per_Sqft
1,1.0,Kanpur,Tier-3,0.9,480,620,Bedroom,82,Mid,Economy,Vitrified_Tile,Economy,nan,nan,False,Basic,nan,nan,1811,563,7678,564,0,0,0,0,0,0,0,47214,3624,10062,12873,84390,1029.14
2,1.0,Delhi,Metro,1.2,750,900,Kids Room,456,Luxury,Standard,Ceramic_Tile,Economy,Gypsum,Premium,True,Standard,nan,nan,10800,1704,49820,2824,80202,1819,47774,1655,0,0,0,214227,37368,119961,102268,670422,1470.22
3,1.0,Hyderabad,Metro,1.15,700,850,Bathroom,203,Luxury,Economy,Vitrified_Tile,Standard,nan,nan,True,nan,nan,Premium,6289,871,34727,1222,0,0,35784,960,0,490176,60487,0,32380,209962,157115,1029973,5073.76
4,1.0,Indore,Tier-2,0.96,550,700,Bathroom,198,Basic,Standard,Ceramic_Tile,Premium,nan,nan,False,nan,nan,Basic,5035,683,20796,1026,0,0,0,0,0,100811,57513,0,18391,27136,41650,273041,1378.99
5,1.0,Chennai,Metro,1.1,650,800,Dining,306,Basic,Economy,Ceramic_Tile,Economy,nan,nan,True,nan,nan,nan,8524,904,30328,1438,0,0,50366,1065,0,0,0,0,5770,13245,20095,131736,430.51
6,1.0,Kolkata,Metro,1.0,600,750,Bathroom,71,Luxury,Standard,Vitrified_Tile,Standard,nan,nan,True,nan,nan,Premium,2380,731,11146,623,0,0,9945,680,0,222374,59964,0,30356,104050,79605,521853,7350.04
7,1.0,Jaipur,Tier-2,0.95,550,700,Living Room,97,Luxury,Economy,Ceramic_Tile,Standard,POP,Economy,True,Basic,nan,nan,2565,665,11425,590,12215,653,12021,606,0,0,0,40276,4176,27951,20366,133509,1376.38
8,1.0,Delhi,Metro,1.2,750,900,Dining,335,Luxury,Economy,Vitrified_Tile,Standard,nan,nan,True,nan,nan,nan,12081,1574,65762,2640,0,0,45241,1305,0,0,0,0,6751,34980,30660,200995,599.98
9,1.0,Vadodara,Tier-2,0.98,550,700,Kitchen,273,Mid,Economy,Ceramic_Tile,Standard,Gypsum,Standard,True,nan,Basic_L,nan,4582,692,25504,1724,48899,844,19946,848,316013,0,30204,0,33067,106025,105903,694251,2543.04
10,1.0,Pune,Metro,1.2,700,850,Kids Room,262,Basic,Economy,Engineered_Wood,Standard,POP,Luxury,True,nan,nan,nan,8870,780,108574,1688,59872,1294,38538,896,0,0,0,0,21162,23815,47788,313277,1195.71
