Row_ID,Room_Type,Area_Sqft,paintable_area_sqft,flooring_area_sqft,false_ceiling_area_sqft,electrical_points
1,Bedroom,82,360.0,82,0.0,15.0
2,Kids Room,456,1550.3999999999999,456,410.40000000000003,17.0
3,Bathroom,203,446.6,203,0.0,9.0
4,Bathroom,198,435.6,198,0.0,0.0
5,Dining,306,979.2,306,0.0,15.0
6,Bathroom,71,156.20000000000002,71,0.0,7.0
7,Living Room,97,349.2,97,82.45,19.0
8,Dining,335,1072.0,335,0.0,15.0
9,Kitchen,273,819.0,273,245.70000000000002,26.0
10,Kids Room,262,890.8,262,222.7,14.0
11,Kids Room,159,540.6,159,0.0,12.0
12,Dining,172,550.4,172,0.0,13.0
13,Living Room,200,720.0,200,170.0,21.0
14,Dining,141,451.20000000000005,141,0.0,0.0
15,Bathroom,81,178.20000000000002,81,0.0,7.0
16,Kids Room,203,690.1999999999999,203,182.70000000000002,13.0
17,Living Room,244,878.4,244,0.0,22.0
18,Bathroom,282,620.4000000000001,282,0.0,10.0
19,Dining,163,521.6,163,0.0,12.0
20,Bathroom,468,1029.6000000000001,468,0.0,13.0
21,Bathroom,265,583.0,265,0.0,10.0
22,Study,453,1449.6000000000001,453,407.7,17.0
23,Living Room,382,1375.2,382,0.0,0.0
24,Dining,395,1264.0,395,0.0,16.0
25,Bedroom,278,945.1999999999999,278,0.0,16.0
26,Study,251,803.2,251,225.9,0.0
27,Living Room,216,777.6,216,0.0,0.0
28,Study,353,1129.6000000000001,353,0.0,15.0
29,Living Room,533,1918.8,533,479.7,26.0
30,Study,117,374.40000000000003,117,105.3,0.0
31,Study,141,451.20000000000005,141,126.9,12.0
32,Kids Room,199,676.6,199,169.15,0.0
33,Kitchen,225,675.0,225,191.25,0.0
34,Kids Room,508,1727.2,508,0.0,0.0
35,Kitchen,418,1254.0,418,376.2,28.0
36,Kitchen,487,1461.0,487,438.3,0.0
37,Living Room,428,1540.8,428,385.2,0.0
38,Living Room,291,1047.6000000000001,291,0.0,22.0
39,Dining,212,678.4000000000001,212,180.2,13.0
40,Kids Room,281,955.4,281,252.9,14.0
41,Kitchen,113,339.0,113,0.0,24.0
42,Kitchen,548,1644.0,548,493.2,30.0
43,Bathroom,202,444.40000000000003,202,0.0,0.0
44,Kids Room,502,1706.8,502,451.8,0.0
45,Living Room,523,1882.8,523,444.55,0.0
46,Bathroom,312,686.4000000000001,312,0.0,11.0
47,Bedroom,277,941.8,277,0.0,0.0
48,Living Room,385,1386.0,385,0.0,0.0
49,Living Room,487,1753.2,487,0.0,25.0
50,Study,273,873.6,273,232.04999999999998,14.0
51,Dining,338,1081.6000000000001,338,287.3,15.0
52,Study,232,742.4000000000001,232,197.2,0.0
53,Study,513,1641.6000000000001,513,461.7,18.0
54,Bathroom,506,1113.2,506,0.0,14.0
55,Dining,95,304.0,95,85.5,11.0
56,Kids Room,524,1781.6,524,471.6,18.0
57,Living Room,469,1688.4,469,422.1,25.0
58,Living Room,489,1760.4,489,415.65,25.0
59,Kids Room,413,1404.2,413,0.0,16.0
60,Living Room,271,975.6,271,0.0,22.0
61,Kitchen,428,1284.0,428,0.0,28.0
62,Bedroom,221,751.4,221,198.9,15.0
63,Kids Room,156,530.4,156,0.0,12.0
64,Living Room,527,1897.2,527,474.3,0.0
65,Bathroom,318,699.6,318,0.0,11.0
66,Kids Room,145,493.0,145,0.0,12.0
67,Kids Room,345,1173.0,345,0.0,15.0
68,Dining,499,1596.8000000000002,499,0.0,0.0
69,Bedroom,91,309.4,91,0.0,13.0
70,Kitchen,483,1449.0,483,434.7,0.0
71,Bathroom,81,178.20000000000002,81,0.0,7.0
72,Bedroom,255,867.0,255,0.0,0.0
73,Kitchen,517,1551.0,517,0.0,0.0
74,Kitchen,534,1602.0,534,453.9,30.0
75,Bathroom,322,708.4000000000001,322,0.0,11.0
76,Kids Room,416,1414.3999999999999,416,374.40000000000003,16.0
77,Living Room,376,1353.6000000000001,376,0.0,0.0
78,Kids Room,112,380.8,112,0.0,12.0
79,Kids Room,312,1060.8,312,0.0,0.0
80,Bedroom,158,537.1999999999999,158,0.0,0.0
81,Kitchen,365,1095.0,365,0.0,0.0
82,Bedroom,99,336.59999999999997,99,84.14999999999999,13.0
83,Study,100,320.0,100,90.0,0.0
84,Bathroom,323,710.6,323,0.0,11.0
85,Bedroom,355,1207.0,355,0.0,0.0
86,Kids Room,223,758.1999999999999,223,200.70000000000002,13.0
87,Living Room,456,1641.6000000000001,456,410.40000000000003,0.0
88,Kids Room,505,1717.0,505,454.5,18.0
89,Kitchen,268,804.0,268,0.0,26.0
90,Bedroom,321,1091.3999999999999,321,0.0,0.0
91,Bathroom,75,165.0,75,0.0,7.0
92,Kitchen,398,1194.0,398,0.0,0.0
93,Kids Room,402,1366.8,402,0.0,16.0
94,Study,500,1600.0,500,0.0,0.0
95,Living Room,396,1425.6000000000001,396,356.40000000000003,24.0
96,Dining,446,1427.2,446,379.09999999999997,17.0
97,Bedroom,525,1785.0,525,446.25,20.0
98,Living Room,354,1274.4,354,0.0,23.0
99,Bathroom,349,767.8000000000001,349,0.0,11.0
100,Kitchen,176,528.0,176,149.6,25.0
101,Bedroom,80,272.0,80,0.0,13.0
102,Dining,118,377.6,118,0.0,12.0
103,Living Room,216,777.6,216,194.4,21.0
104,Bathroom,269,591.8000000000001,269,0.0,10.0
105,Bathroom,119,261.8,119,0.0,8.0
106,Kitchen,325,975.0,325,0.0,0.0
107,Kids Room,474,1611.6,474,426.6,0.0
108,Kids Room,326,1108.3999999999999,326,0.0,0.0
109,Study,506,1619.2,506,0.0,18.0
110,Study,283,905.6,283,240.54999999999998,0.0
111,Study,429,1372.8000000000002,429,364.65,0.0
112,Dining,314,1004.8000000000001,314,282.6,15.0
113,Living Room,89,320.40000000000003,89,75.64999999999999,0.0
114,Study,527,1686.4,527,474.3,18.0
115,Dining,100,320.0,100,0.0,12.0
116,Bathroom,177,389.40000000000003,177,0.0,9.0
117,Kids Room,215,731.0,215,0.0,13.0
118,Living Room,411,1479.6000000000001,411,349.34999999999997,24.0
119,Living Room,135,486.0,135,0.0,20.0
120,Bathroom,316,695.2,316,0.0,11.0
121,Kids Room,105,357.0,105,0.0,0.0
122,Kitchen,204,612.0,204,0.0,0.0
123,Bathroom,199,437.8,199,0.0,0.0
124,Dining,476,1523.2,476,0.0,17.0
125,Dining,166,531.2,166,0.0,12.0
126,Study,497,1590.4,497,0.0,0.0
127,Living Room,377,1357.2,377,339.3,0.0
128,Living Room,494,1778.4,494,444.6,0.0
129,Dining,498,1593.6000000000001,498,448.2,17.0
130,Bedroom,169,574.6,169,152.1,15.0
131,Living Room,335,1206.0,335,0.0,0.0
132,Living Room,525,1890.0,525,0.0,26.0
133,Kids Room,406,1380.3999999999999,406,365.40000000000003,16.0
134,Study,184,588.8000000000001,184,0.0,13.0
135,Dining,449,1436.8000000000002,449,0.0,0.0
136,Bathroom,374,822.8000000000001,374,0.0,12.0
137,Kitchen,382,1146.0,382,0.0,28.0
138,Bedroom,73,248.2,73,0.0,0.0
139,Bedroom,456,1550.3999999999999,456,0.0,19.0
140,Kids Room,151,513.4,151,0.0,12.0
141,Living Room,310,1116.0,310,0.0,23.0
142,Dining,436,1395.2,436,0.0,0.0
143,Living Room,402,1447.2,402,0.0,24.0
144,Bedroom,179,608.6,179,152.15,15.0
145,Bedroom,214,727.6,214,192.6,15.0
146,Bedroom,470,1598.0,470,0.0,19.0
147,Bedroom,478,1625.2,478,0.0,19.0
148,Kids Room,146,496.4,146,131.4,12.0
149,Kids Room,232,788.8,232,197.2,13.0
150,Bedroom,290,986.0,290,0.0,16.0
151,Bathroom,413,908.6,413,0.0,12.0
152,Bathroom,465,1023.0000000000001,465,0.0,0.0
153,Dining,444,1420.8000000000002,444,399.6,0.0
154,Dining,483,1545.6000000000001,483,0.0,17.0
155,Dining,121,387.20000000000005,121,108.9,0.0
156,Kitchen,402,1206.0,402,0.0,0.0
157,Living Room,442,1591.2,442,397.8,0.0
158,Bathroom,449,987.8000000000001,449,0.0,13.0
159,Kitchen,283,849.0,283,0.0,26.0
